cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
7821,matched_official_mte,8333,8343,8343,1,1,0.18,0.03,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,37151.0,0.18,0.03,0.03,0.0
7822,matched_official_mte,8333; 8334,8343; 8344,8343; 8344,2,2,0.19,0.0744983221287567,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,109814.0,0.19862476551259403,0.0969529872055681,0.073824115301167,0.010000000000000009
7823,matched_official_mte,8322,8322,8322,1,1,0.28,0.23,Exposed: Gradient 1,Exposed: Gradient 1,Exposed: Gradient 1,Exposed: Gradient 1,Exposed: Gradient 1,False,320014.0,0.28,0.23,0.23,0.0
7824,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7825,matched_official_mte,8324,8332,8332,1,1,0.24,0.22,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,False,983326.0,0.24,0.22,0.22,0.0
7826,matched_official_mte,8311,8311,8311,1,1,0.2,0.08,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1355.0,0.2,0.08,0.08,0.0
7827,matched_official_mte,8340,8350,8350,1,1,0.14,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2751.0,0.14,0.02,0.02,0.0
7828,matched_official_mte,9332,9332,9332,1,1,0.13,0.08,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,522.0,0.13,0.08,0.08,0.0
7831,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7832,matched_official_mte,9333,9333; 9334,9333; 9334,2,2,0.17,0.07968688725254613,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,679176.0,0.17,0.07968688725254613,0.073824115301167,0.03
