case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
health_care_aides,health_restricted,age,age_41_49,real_admission_wage,-47.29813872,adequate,3041.833032,1089,6,-40.37833314,adequate,-37.82478052,adequate,6,-46.29199454,adequate,-46.29199454,adequate,-37.59091032,-9.707228403,6.919805582,9.473358195,1.00614418,1.00614418
health_care_aides,health_restricted,age,age_50_plus,admissions,106.122449,adequate,588,588,6,110.3071317,adequate,123.870509,adequate,6,106.122449,adequate,106.122449,adequate,94.64788732,11.47456166,4.184682723,17.74806004,,
health_care_aides,health_restricted,age,age_50_plus,real_admission_wage,-54.80659721,adequate,3447.468264,587,6,-53.19559322,adequate,-41.26447712,adequate,6,-48.0957774,adequate,-48.0957774,adequate,-48.84732289,-5.959274315,1.611003993,13.54212009,6.710819805,6.710819805
health_care_aides,health_restricted,education,education_other,admissions,54.28748964,adequate,4828,4828,6,57.71087398,adequate,70.88269117,adequate,6,54.28748964,adequate,54.28748964,adequate,43.29811173,10.98937791,3.42338434,16.59520152,,
health_care_aides,health_restricted,education,education_other,real_admission_wage,-37.12532827,adequate,2512.054485,4816,6,-44.67204146,adequate,-39.2022443,adequate,6,-35.94627284,adequate,-35.94627284,adequate,-27.8775932,-9.247735076,-7.546713189,-2.07691603,1.179055434,1.179055434
health_care_aides,health_restricted,education,higher_education,admissions,79.55153949,adequate,498,498,6,95.87440672,adequate,110.3978071,adequate,6,79.55153949,adequate,79.55153949,adequate,68.15434682,11.39719268,16.32286723,30.84626764,,
health_care_aides,health_restricted,education,higher_education,real_admission_wage,-7.04163634,adequate,1799.270853,497,6,-24.54027051,adequate,-20.15970138,adequate,6,-13.1068523,adequate,-13.1068523,adequate,-2.597604547,-4.444031794,-17.49863417,-13.11806504,-6.065215959,-6.065215959
health_care_aides,health_restricted,overall,all,admissions,56.64976843,adequate,5326,5326,6,61.07432219,adequate,74.42861173,adequate,6,56.64976843,adequate,56.64976843,adequate,45.66458638,10.98518206,4.424553762,17.7788433,,
health_care_aides,health_restricted,overall,all,real_admission_wage,-35.01030759,adequate,2445.377755,5313,6,-43.2226961,adequate,-37.95959796,adequate,6,-34.05061912,adequate,-34.05061912,adequate,-25.88374081,-9.126566788,-8.212388508,-2.949290363,0.9596884768,0.9596884768
health_care_aides,health_restricted,race_color,race_black_combined,admissions,167.5156128,adequate,1708,1708,6,170.3808904,adequate,183.8257983,adequate,6,167.5156128,adequate,167.5156128,adequate,139.1307296,28.38488321,2.865277585,16.31018552,,
