outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbo,status
desligamentos,ppml,-0.04376056383449009,0.03479041841966781,0.20931760469890426,21984,340,3548,estimated
n_movimentacoes,ppml,-0.05000122921228858,0.03547952155191098,0.15966363576710307,21984,340,3548,estimated
ln_salario_real_adm,ols,-0.05157677741459422,0.010401841351429854,1.1254944813909873e-06,21947,340,3548,estimated
asinh_saldo,ols,-0.5989005670925261,0.37972800642734944,0.11568608853302664,21984,340,3548,estimated
admissoes,ppml,-0.05375298774022693,0.03856664340713657,0.16430038601909347,21984,340,3711,estimated
desligamentos,ppml,-0.041919043740624176,0.034708224549626715,0.22798329757507352,21984,340,3711,estimated
n_movimentacoes,ppml,-0.04803848637240708,0.035342140023395335,0.17497374316033443,21984,340,3711,estimated
ln_salario_real_adm,ols,-0.05123388032156357,0.010424111842615444,1.3855862515121942e-06,21947,340,3711,estimated
asinh_saldo,ols,-0.6105816921346288,0.3780475462959692,0.1072209911883808,21984,340,3711,estimated
admissoes,ppml,-0.05336359865504827,0.03855499232988885,0.1672412523410478,21984,340,3751,estimated
desligamentos,ppml,-0.04150658930058898,0.034719776995623945,0.23273749493272544,21984,340,3751,estimated
n_movimentacoes,ppml,-0.04764177772390999,0.03534051711568075,0.178533336364044,21984,340,3751,estimated
ln_salario_real_adm,ols,-0.05155646490557929,0.010403464568318825,1.1403075235172366e-06,21947,340,3751,estimated
asinh_saldo,ols,-0.5465873114147344,0.38273317243025373,0.15417912639915232,21984,340,3751,estimated
admissoes,ppml,-0.054177490163620924,0.03871225688233441,0.16257990012929113,21984,340,4102,estimated
desligamentos,ppml,-0.043779923169036346,0.03486785899363715,0.21012743894528252,21984,340,4102,estimated
n_movimentacoes,ppml,-0.04917407494501635,0.03551800139320302,0.1671211701040629,21984,340,4102,estimated
ln_salario_real_adm,ols,-0.05104169215721014,0.010431596893198466,1.5380340498971634e-06,21947,340,4102,estimated
asinh_saldo,ols,-0.47284362600255275,0.37448249303166564,0.20757966967453467,21984,340,4102,estimated
admissoes,ppml,-0.055151836805080345,0.05115034942876805,0.2816977820011637,21984,340,4110,estimated
desligamentos,ppml,-0.039714095814714995,0.046411431496674316,0.39277011221117175,21984,340,4110,estimated
n_movimentacoes,ppml,-0.04727765492791941,0.047190103732696276,0.31712806308542474,21984,340,4110,estimated
ln_salario_real_adm,ols,-0.05083069138900096,0.01043562173484922,1.707878440448951e-06,21947,340,4110,estimated
asinh_saldo,ols,-0.5651916055738274,0.3825039772572255,0.1404406903501143,21984,340,4110,estimated
admissoes,ppml,-0.05328572458081063,0.03856190843550222,0.16793602165189814,21984,340,4121,estimated
desligamentos,ppml,-0.041391836721290494,0.034730018663308625,0.2341665669374935,21984,340,4121,estimated
n_movimentacoes,ppml,-0.047546791406490096,0.035348207158586685,0.17949282069814698,21984,340,4121,estimated
ln_salario_real_adm,ols,-0.051202244017732435,0.010425592485924291,1.4104362584532737e-06,21947,340,4121,estimated
asinh_saldo,ols,-0.5511462431341886,0.38276239605854134,0.15081358062967132,21984,340,4121,estimated
admissoes,ppml,-0.05137563443582525,0.038561422283864034,0.18365439269124995,21984,340,4122,estimated
desligamentos,ppml,-0.038786396123162564,0.03476162330710512,0.265305722947083,21984,340,4122,estimated
n_movimentacoes,ppml,-0.0453117324606008,0.03534846565648562,0.20076826002716675,21984,340,4122,estimated
ln_salario_real_adm,ols,-0.05124078760269612,0.0104237895165449,1.3802191876077785e-06,21947,340,4122,estimated
asinh_saldo,ols,-0.5803316157570333,0.3816353789825459,0.1292812970701629,21984,340,4122,estimated
admissoes,ppml,-0.05367708480124032,0.03915225463891858,0.17128711567762211,21984,340,4131,estimated
desligamentos,ppml,-0.04160901031104049,0.03531500907908981,0.2395335019772653,21984,340,4131,estimated
n_movimentacoes,ppml,-0.04785282264247023,0.035923420242881976,0.18372916222253144,21984,340,4131,estimated
ln_salario_real_adm,ols,-0.05126222172878032,0.010422718773212073,1.3634736901746436e-06,21947,340,4131,estimated
asinh_saldo,ols,-0.5506333607650863,0.3827618729217983,0.15119229329936634,21984,340,4131,estimated
admissoes,ppml,-0.051451935478296296,0.03852377113562654,0.18257957203640007,21984,340,4132,estimated
desligamentos,ppml,-0.04057036486778828,0.03482262220276483,0.24481477782342664,21984,340,4132,estimated
n_movimentacoes,ppml,-0.04617035566761231,0.035378729932447825,0.19276725756031254,21984,340,4132,estimated
ln_salario_real_adm,ols,-0.050910170955958865,0.010434623942061374,1.6437787206946552e-06,21947,340,4132,estimated
asinh_saldo,ols,-0.5445936018330664,0.3827029184138859,0.15565018134444575,21984,340,4132,estimated
admissoes,ppml,-0.05625965665897096,0.039139527278314566,0.1515231072481371,21984,340,4142,estimated
desligamentos,ppml,-0.04712627115040257,0.03505295151006136,0.17970800120142627,21984,340,4142,estimated
n_movimentacoes,ppml,-0.05189593782435029,0.035855256842414036,0.14871652873251007,21984,340,4142,estimated
ln_salario_real_adm,ols,-0.05118011669419341,0.010426576751698743,1.427903781880957e-06,21947,340,4142,estimated
asinh_saldo,ols,-0.439571450314741,0.3657706656966905,0.23029231468723843,21984,340,4142,estimated
admissoes,ppml,-0.053551129515636495,0.03858434150673739,0.16607961097523183,21984,340,4151,estimated
desligamentos,ppml,-0.041804790364440285,0.03473893725945675,0.22966178109044444,21984,340,4151,estimated
n_movimentacoes,ppml,-0.04787777354539392,0.03536626758408758,0.17671178782697528,21984,340,4151,estimated
ln_salario_real_adm,ols,-0.05095349913106121,0.010433811162395657,1.6088549135151453e-06,21947,340,4151,estimated
asinh_saldo,ols,-0.5618109510709459,0.38261423886167956,0.1429369007016552,21984,340,4151,estimated
admissoes,ppml,-0.05252742661294312,0.038495228475474715,0.17330971551190677,21984,340,4152,estimated
desligamentos,ppml,-0.0402279471426048,0.0346842269775536,0.24693259818146918,21984,340,4152,estimated
