outcome,row_position,column_position,row_event_time,column_event_time,covariance
ln_salario_real_adm,6,31,-17,9,9.345190661925319e-05
ln_salario_real_adm,6,32,-17,10,6.821162082274826e-05
ln_salario_real_adm,6,33,-17,11,0.00010401333598957736
ln_salario_real_adm,6,34,-17,12,8.691063952852185e-05
ln_salario_real_adm,6,35,-17,13,7.511024482326197e-05
ln_salario_real_adm,6,36,-17,14,1.2123731023278968e-05
ln_salario_real_adm,6,37,-17,15,6.447641874720665e-05
ln_salario_real_adm,6,38,-17,16,1.910600996894347e-05
ln_salario_real_adm,6,39,-17,17,6.809653769941426e-05
ln_salario_real_adm,6,40,-17,18,8.054418644657722e-05
ln_salario_real_adm,6,41,-17,19,1.1102584932508064e-05
ln_salario_real_adm,6,42,-17,20,4.315748775496744e-05
ln_salario_real_adm,6,43,-17,21,5.85213880772068e-05
ln_salario_real_adm,6,44,-17,22,2.7852555136993697e-05
ln_salario_real_adm,6,45,-17,23,9.59754673729337e-05
ln_salario_real_adm,7,0,-16,-23,3.3335500398403254e-05
ln_salario_real_adm,7,1,-16,-22,0.0007763168858786728
ln_salario_real_adm,7,2,-16,-21,0.0006548386586586654
ln_salario_real_adm,7,3,-16,-20,0.000981533953079859
ln_salario_real_adm,7,4,-16,-19,0.0007866095059192422
ln_salario_real_adm,7,5,-16,-18,0.00010011909546387303
ln_salario_real_adm,7,6,-16,-17,0.00024146278934350637
ln_salario_real_adm,7,7,-16,-16,0.0016835713232505934
ln_salario_real_adm,7,8,-16,-15,6.78118788329887e-05
ln_salario_real_adm,7,9,-16,-14,0.0002098310599052423
ln_salario_real_adm,7,10,-16,-13,0.00010780581840195145
ln_salario_real_adm,7,11,-16,-12,0.0008945729386143857
ln_salario_real_adm,7,12,-16,-11,9.453038308473187e-06
ln_salario_real_adm,7,13,-16,-10,6.583933776776012e-05
ln_salario_real_adm,7,14,-16,-9,0.00013783479093658116
ln_salario_real_adm,7,15,-16,-8,0.00018487804165125206
ln_salario_real_adm,7,16,-16,-7,8.715243161105703e-05
ln_salario_real_adm,7,17,-16,-6,3.7540630622029114e-05
ln_salario_real_adm,7,18,-16,-5,3.12930704777967e-05
ln_salario_real_adm,7,19,-16,-4,0.0001010051384759382
ln_salario_real_adm,7,20,-16,-3,0.00012384082591553497
ln_salario_real_adm,7,21,-16,-2,4.436638523079693e-05
ln_salario_real_adm,7,22,-16,0,-1.1193443739492887e-05
ln_salario_real_adm,7,23,-16,1,5.736590533863712e-05
ln_salario_real_adm,7,24,-16,2,0.00014142973398109012
