outcome,estimator,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent
desligamentos,ppml,-8,2022-04,False,0.0812664219229937,0.03426744988557688,0.013863522203443154,0.14866932164254426,0.018270995061741457,340,15935,341,8.465983523435069
desligamentos,ppml,-7,2022-05,False,0.0884543443536273,0.02675143753572292,0.03583518338323117,0.14107350532402343,0.0010454768666809944,340,15935,341,9.248437339163482
desligamentos,ppml,-6,2022-06,False,0.08118057271315826,0.025261092327692317,0.031492869698922454,0.13086827572739407,0.0014360212139326034,340,15935,341,8.45667220414598
desligamentos,ppml,-5,2022-07,False,0.0884099349228203,0.02566066447506562,0.03793628718640475,0.13888358265923584,0.0006417444581601206,340,15935,341,9.24358578597285
desligamentos,ppml,-4,2022-08,False,0.07019397912671409,0.025921128222755854,0.01920800812361937,0.12117995012980881,0.007111583065918969,340,15935,341,7.271624563403082
desligamentos,ppml,-3,2022-09,False,0.07018865671848941,0.02248741336326848,0.025956685184639464,0.11442062825233935,0.0019552206296966634,340,15935,341,7.271053621545624
desligamentos,ppml,-2,2022-10,False,0.049601599059907,0.014786408510235724,0.02051724019002756,0.07868595792978644,0.0008847194871060005,340,15935,341,5.085235240247029
desligamentos,ppml,-1,2022-11,True,0.0,,,,,340,15935,341,0.0
desligamentos,ppml,0,2022-12,False,-0.033067738900383385,0.03220112996833624,-0.09640625814705545,0.03027078034628867,0.3051917439338321,340,15935,341,-3.2526978189319498
desligamentos,ppml,1,2023-01,False,0.09942944102002375,0.03182387767520649,0.03683296410704452,0.16202591793300297,0.0019351571425556546,340,15935,341,10.454053273704005
desligamentos,ppml,2,2023-02,False,0.07288155775752411,0.02540893845015074,0.022903046486494626,0.12286006902855359,0.004383987934951428,340,15935,341,7.560313252279139
desligamentos,ppml,3,2023-03,False,0.026306593503215365,0.03425174212521468,-0.04106540958994345,0.09367859659637418,0.44299849208198205,340,15935,341,2.6655666183065247
desligamentos,ppml,4,2023-04,False,0.015817232523329318,0.03816381152741838,-0.05924967703334321,0.09088414208000184,0.6788013168208795,340,15935,341,1.594298710061273
desligamentos,ppml,5,2023-05,False,0.0019472112797517677,0.035985470557843825,-0.06883497623260484,0.07272939879210838,0.9568784760121483,340,15935,341,0.19491083267530415
desligamentos,ppml,6,2023-06,False,0.03386011496811031,0.03218814852287268,-0.02945287022015597,0.09717310015637659,0.2935725055440557,340,15935,341,3.4439893949224967
desligamentos,ppml,7,2023-07,False,0.047519840327297266,0.02941368406137796,-0.010335868334760502,0.10537554898935503,0.10711501059971984,340,15935,341,4.866700681152966
desligamentos,ppml,8,2023-08,False,0.03366481972433021,0.029978911061427114,-0.025302671078806308,0.09263231052746673,0.26225102620915486,340,15935,341,3.423789248356507
desligamentos,ppml,9,2023-09,False,0.02929772685445619,0.03461536413261979,-0.038789508267429225,0.09738496197634161,0.3979364972752837,340,15935,341,2.973112745082877
desligamentos,ppml,10,2023-10,False,0.017109753814142592,0.03465054431293451,-0.051046679516940946,0.08526618714522613,0.6217802189031396,340,15935,341,1.7256964030342645
desligamentos,ppml,11,2023-11,False,-0.04247128373353493,0.03555402713070827,-0.11240483680851787,0.027462269341448013,0.23309312511398028,340,15935,341,-4.158201268790794
desligamentos,ppml,12,2023-12,False,-0.05928914851116586,0.04488218717492558,-0.14757087275522476,0.028992575732893044,0.18739136471864026,340,15935,341,-5.756577369708887
desligamentos,ppml,13,2024-01,False,0.08939914985301409,0.04324844493338894,0.004330940616391929,0.17446735908963623,0.039480549421295974,340,15935,341,9.351704639635773
desligamentos,ppml,14,2024-02,False,0.0420251808133734,0.038317344719735566,-0.03334372327163237,0.11739408489837916,0.27351965780439746,340,15935,341,4.292074001263939
desligamentos,ppml,15,2024-03,False,0.006902630652755904,0.03709555288260048,-0.0660630507544152,0.07986831205992699,0.8524953144109051,340,15935,341,0.692650871658784
desligamentos,ppml,16,2024-04,False,0.00465817694027466,0.036230665973810076,-0.06660630155344333,0.07592265543399265,0.8977739178471429,340,15935,341,0.4669043112110304
desligamentos,ppml,17,2024-05,False,0.005573567346047502,0.03715490487568941,-0.06750885739777943,0.07865599208987442,0.8808465211082774,340,15935,341,0.5589128569604249
desligamentos,ppml,18,2024-06,False,0.025407544833164316,0.037930389342155924,-0.04920023128352072,0.10001532094984936,0.5034102007184167,340,15935,341,2.5733067564457337
desligamentos,ppml,19,2024-07,False,0.03661151797223475,0.03495728296973167,-0.03214825978608937,0.10537129573055887,0.29569521735373683,340,15935,341,3.728997404251117
desligamentos,ppml,20,2024-08,False,0.01815254903555737,0.03796913781544181,-0.05653144400032929,0.09283654207144403,0.6328955663001599,340,15935,341,1.831830801742601
desligamentos,ppml,21,2024-09,False,0.024329011653650288,0.042840444158894465,-0.05993667404005937,0.10859469734735994,0.5704789094728646,340,15935,341,2.462737678704064
desligamentos,ppml,22,2024-10,False,0.02527851231322575,0.0343792218202085,-0.04234423897177804,0.09290126359822955,0.462673069081573,340,15935,341,2.5600723180513483
desligamentos,ppml,23,2024-11,False,-0.043523787982891776,0.04248225242194467,-0.12708492280378728,0.04003734683800372,0.3063195269788799,340,15935,341,-4.259022102736169
ln_salario_real_adm,ols,-23,2021-01,False,0.001867303928676872,0.016517415403397417,-0.030621886185523924,0.03435649404287767,0.9100571488313371,340,15907,341,
ln_salario_real_adm,ols,-22,2021-02,False,0.01943629778751583,0.026910829455014808,-0.03349638162641816,0.07236897720144982,0.47063835559821454,340,15907,341,
ln_salario_real_adm,ols,-21,2021-03,False,0.06416295034545509,0.027667652214237483,0.009741626497351219,0.11858427419355896,0.02098403071271382,340,15907,341,
ln_salario_real_adm,ols,-20,2021-04,False,0.061143330114876986,0.03016585094088806,0.0018081349745060135,0.12047852525524796,0.043452053191255224,340,15907,341,
ln_salario_real_adm,ols,-19,2021-05,False,0.07964567694162646,0.028287201852156364,0.024005720185168736,0.13528563369808416,0.005152432456717815,340,15907,341,
ln_salario_real_adm,ols,-18,2021-06,False,0.05251393547785936,0.01851703921012866,0.016091553854749092,0.08893631710096964,0.004842159594710349,340,15907,341,
ln_salario_real_adm,ols,-17,2021-07,False,0.029451112093922,0.017271581180365758,-0.004521496261398323,0.06342372044924233,0.08907471305628833,340,15907,341,
ln_salario_real_adm,ols,-16,2021-08,False,0.06541498166496726,0.041031345618326893,-0.015292269189855101,0.14612223251978962,0.1118050384150564,340,15907,341,
ln_salario_real_adm,ols,-15,2021-09,False,0.05804508899433178,0.0188869419284041,0.020895121399427244,0.09519505658923631,0.002288221917526867,340,15907,341,
ln_salario_real_adm,ols,-14,2021-10,False,0.033264566177786885,0.015434546436574671,0.002905342215835067,0.0636237901397387,0.03184759559872674,340,15907,341,
ln_salario_real_adm,ols,-13,2021-11,False,0.040156872645597225,0.012459824312618549,0.015648825169904314,0.06466492012129013,0.0013917958829929855,340,15907,341,
ln_salario_real_adm,ols,-12,2021-12,False,0.08139111751475585,0.02896038886232041,0.02442702497667145,0.13835521005284024,0.0052341424905388845,340,15907,341,
ln_salario_real_adm,ols,-11,2022-01,False,0.040814470578667036,0.01789473685145144,0.005616136371317783,0.0760128047860163,0.023177990305917495,340,15907,341,
ln_salario_real_adm,ols,-10,2022-02,False,0.005236215593388175,0.01253383527259937,-0.019417408904534063,0.02988984009131041,0.676381601654723,340,15907,341,
ln_salario_real_adm,ols,-9,2022-03,False,0.025328967601258724,0.017485872750141934,-0.009065144928915532,0.05972308013143298,0.14838796073410787,340,15907,341,
ln_salario_real_adm,ols,-8,2022-04,False,0.029592617751236883,0.01504260042296362,4.338167670883686e-06,0.05918089733480288,0.04996660846900469,340,15907,341,
ln_salario_real_adm,ols,-7,2022-05,False,0.045991861644386005,0.01459825060648708,0.017277602923778213,0.0747061203649938,0.0017745795902317507,340,15907,341,
ln_salario_real_adm,ols,-6,2022-06,False,0.013466838957748004,0.017215042562036455,-0.02039455987266583,0.04732823778816184,0.4345994270511735,340,15907,341,
ln_salario_real_adm,ols,-5,2022-07,False,0.03386783086289536,0.018082175494932715,-0.0016991887334257341,0.06943485045921646,0.061926894455861525,340,15907,341,
ln_salario_real_adm,ols,-4,2022-08,False,0.026039198385933333,0.01609646570504367,-0.00562199809583043,0.0577003948676971,0.10665530344456409,340,15907,341,
ln_salario_real_adm,ols,-3,2022-09,False,0.005454423348134961,0.014196254940779777,-0.022469123672774167,0.03337797036904409,0.7010587994383939,340,15907,341,
ln_salario_real_adm,ols,-2,2022-10,False,0.007346816782215685,0.014903926962686028,-0.021968696856756703,0.03666233042118807,0.6223696305164734,340,15907,341,
ln_salario_real_adm,ols,-1,2022-11,True,0.0,,,,,340,15907,341,
ln_salario_real_adm,ols,0,2022-12,False,0.01397314896515011,0.015131467085820919,-0.015789928299159057,0.043736226229459274,0.3564277673673968,340,15907,341,
ln_salario_real_adm,ols,1,2023-01,False,-0.02725002951776032,0.015238052896330278,-0.057222757419081526,0.002722698383560887,0.07461983650362858,340,15907,341,
ln_salario_real_adm,ols,2,2023-02,False,-0.028494324618504804,0.021775816030664284,-0.07132660858265298,0.014337959345643372,0.19157718831781945,340,15907,341,
ln_salario_real_adm,ols,3,2023-03,False,-0.03506567232925825,0.017641986801380037,-0.06976685584882772,-0.0003644888096887913,0.04765490364849767,340,15907,341,
ln_salario_real_adm,ols,4,2023-04,False,-0.007992962020192116,0.01972980037743335,-0.0468008033030248,0.030814879262640565,0.6856431423822906,340,15907,341,
ln_salario_real_adm,ols,5,2023-05,False,-0.022658378514354312,0.01653880795396647,-0.0551896470424892,0.00987289001378058,0.17158690212210326,340,15907,341,
ln_salario_real_adm,ols,6,2023-06,False,0.021383764420208153,0.01884611096424173,-0.015685890067299167,0.05845341890771547,0.2573207449552948,340,15907,341,
ln_salario_real_adm,ols,7,2023-07,False,-0.006692016720415126,0.01946804519715103,-0.04498499453291213,0.03160096109208188,0.7312515627326126,340,15907,341,
ln_salario_real_adm,ols,8,2023-08,False,-0.00977803814884952,0.019993544029483182,-0.04910465415784778,0.029548577860148743,0.6251147073817909,340,15907,341,
ln_salario_real_adm,ols,9,2023-09,False,-0.027958849588840647,0.016884087651721814,-0.061169271451137,0.005251572273455702,0.09865880132934635,340,15907,341,
ln_salario_real_adm,ols,10,2023-10,False,-0.030050693195297348,0.018131825565696372,-0.06571537277950566,0.005613986388910971,0.0983720914529953,340,15907,341,
