subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0114800,A,01,202512,1,7,true
0114800,A,01,202601,2,11,true
0114800,A,01,202602,1,12,true
0114800,A,01,202603,3,9,true
0114800,A,01,202604,2,9,true
0114800,A,01,202605,3,14,true
0115600,A,01,202101,31,102,true
0115600,A,01,202102,29,100,true
0115600,A,01,202103,26,99,true
0115600,A,01,202104,28,101,true
0115600,A,01,202105,29,107,true
0115600,A,01,202106,32,104,true
0115600,A,01,202107,30,102,true
0115600,A,01,202108,31,102,true
0115600,A,01,202109,28,96,true
0115600,A,01,202110,29,113,true
0115600,A,01,202111,27,99,true
0115600,A,01,202112,25,102,true
0115600,A,01,202201,31,105,true
0115600,A,01,202202,30,94,true
0115600,A,01,202203,25,103,true
0115600,A,01,202204,28,102,true
0115600,A,01,202205,28,100,true
0115600,A,01,202206,29,98,true
0115600,A,01,202207,32,102,true
0115600,A,01,202208,32,109,true
0115600,A,01,202209,27,106,true
0115600,A,01,202210,30,107,true
0115600,A,01,202211,23,101,true
0115600,A,01,202212,27,99,true
0115600,A,01,202301,28,103,true
0115600,A,01,202302,30,102,true
0115600,A,01,202303,29,100,true
0115600,A,01,202304,27,104,true
0115600,A,01,202305,29,103,true
0115600,A,01,202306,25,102,true
0115600,A,01,202307,29,101,true
0115600,A,01,202308,26,96,true
0115600,A,01,202309,30,105,true
0115600,A,01,202310,32,104,true
0115600,A,01,202311,26,110,true
0115600,A,01,202312,27,96,true
0115600,A,01,202401,32,97,true
0115600,A,01,202402,25,103,true
0115600,A,01,202403,25,95,true
0115600,A,01,202404,29,101,true
0115600,A,01,202405,29,92,true
0115600,A,01,202406,29,106,true
0115600,A,01,202407,32,100,true
0115600,A,01,202408,28,97,true
0115600,A,01,202409,34,97,true
0115600,A,01,202410,31,105,true
0115600,A,01,202411,27,95,true
0115600,A,01,202412,27,98,true
0115600,A,01,202501,29,104,true
0115600,A,01,202502,30,106,true
0115600,A,01,202503,26,99,true
0115600,A,01,202504,29,100,true
0115600,A,01,202505,27,99,true
0115600,A,01,202506,27,97,true
0115600,A,01,202507,26,101,true
0115600,A,01,202508,25,103,true
0115600,A,01,202509,29,99,true
0115600,A,01,202510,31,105,true
0115600,A,01,202511,34,96,true
0115600,A,01,202512,25,98,true
0115600,A,01,202601,30,103,true
0115600,A,01,202602,27,101,true
0115600,A,01,202603,31,100,true
0115600,A,01,202604,29,90,true
0115600,A,01,202605,27,96,true
0116401,A,01,202101,2,12,true
0116401,A,01,202102,1,7,true
0116401,A,01,202103,1,10,true
0116401,A,01,202104,1,7,true
0116401,A,01,202105,1,8,true
0116401,A,01,202106,2,13,true
0116401,A,01,202107,2,16,true
0116401,A,01,202108,2,11,true
0116401,A,01,202109,0,11,false
0116401,A,01,202110,0,9,false
0116401,A,01,202111,1,9,true
0116401,A,01,202112,1,9,true
0116401,A,01,202201,1,11,true
0116401,A,01,202202,2,11,true
0116401,A,01,202203,2,10,true
0116401,A,01,202204,2,9,true
0116401,A,01,202205,2,12,true
0116401,A,01,202206,2,14,true
0116401,A,01,202207,2,12,true
0116401,A,01,202208,1,11,true
0116401,A,01,202209,2,7,true
0116401,A,01,202210,2,8,true
0116401,A,01,202211,2,12,true
0116401,A,01,202212,2,8,true
0116401,A,01,202301,1,12,true
0116401,A,01,202302,1,8,true
0116401,A,01,202303,2,12,true
0116401,A,01,202304,2,13,true
0116401,A,01,202305,1,13,true
0116401,A,01,202306,0,11,false
0116401,A,01,202307,3,12,true
0116401,A,01,202308,1,10,true
0116401,A,01,202309,1,9,true
0116401,A,01,202310,0,11,false
0116401,A,01,202311,2,11,true
0116401,A,01,202312,2,7,true
0116401,A,01,202401,3,13,true
0116401,A,01,202402,1,16,true
0116401,A,01,202403,4,13,true
0116401,A,01,202404,4,12,true
0116401,A,01,202405,4,12,true
0116401,A,01,202406,4,14,true
0116401,A,01,202407,2,10,true
0116401,A,01,202408,4,10,true
0116401,A,01,202409,5,13,true
0116401,A,01,202410,4,8,true
0116401,A,01,202411,3,11,true
0116401,A,01,202412,1,10,true
0116401,A,01,202501,2,13,true
0116401,A,01,202502,4,14,true
0116401,A,01,202503,1,14,true
0116401,A,01,202504,3,14,true
0116401,A,01,202505,2,13,true
0116401,A,01,202506,2,12,true
0116401,A,01,202507,3,15,true
0116401,A,01,202508,3,10,true
0116401,A,01,202509,2,11,true
0116401,A,01,202510,2,13,true
0116401,A,01,202511,1,11,true
0116401,A,01,202512,2,10,true
0116401,A,01,202601,1,10,true
0116401,A,01,202602,1,12,true
0116401,A,01,202603,2,16,true
0116401,A,01,202604,2,13,true
0116401,A,01,202605,3,14,true
0116402,A,01,202101,0,0,false
0116402,A,01,202102,0,2,false
0116402,A,01,202103,0,1,false
