outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
ln_salario_real_adm,22,18,0,-5,0.0001340531444241,0.0001340531444233,both,8.000056780227416e-16,True
ln_salario_real_adm,22,19,0,-4,1.7697747949175417e-05,1.76977479487845e-05,both,3.9091586955322666e-16,True
ln_salario_real_adm,22,20,0,-3,-6.431356936459353e-06,-6.43135693685313e-06,both,3.937771468490517e-16,True
ln_salario_real_adm,22,21,0,-2,6.344532937711007e-05,6.34453293765647e-05,both,5.453672452873648e-16,True
ln_salario_real_adm,22,22,0,0,0.0002289612961692,0.0002289612961686,both,5.999974822534782e-16,True
ln_salario_real_adm,22,23,0,1,0.0001080266359426,0.000108026635942,both,5.999974822534782e-16,True
ln_salario_real_adm,22,24,0,2,0.0001157289524899,0.0001157289524891,both,7.999921254955855e-16,True
ln_salario_real_adm,22,25,0,3,6.449120321022584e-05,6.44912032095489e-05,both,6.769487314456368e-16,True
ln_salario_real_adm,22,26,0,4,8.453279327900899e-05,8.45327932782162e-05,both,7.92795733575713e-16,True
ln_salario_real_adm,22,27,0,5,0.0001138396556684,0.0001138396556677,both,7.000015801381099e-16,True
ln_salario_real_adm,22,28,0,6,7.250943753630238e-05,7.2509437535568e-05,both,7.343707890059004e-16,True
ln_salario_real_adm,22,29,0,7,0.000137264137232,0.0001372641372312,both,8.000056780227416e-16,True
ln_salario_real_adm,22,30,0,8,7.681167753773365e-05,7.68116775369709e-05,both,7.627497808707084e-16,True
ln_salario_real_adm,22,31,0,9,6.7955726364089e-05,6.79557263634292e-05,both,6.598047845932098e-16,True
ln_salario_real_adm,22,32,0,10,0.0001037196026143,0.0001037196026136,both,7.000015801381099e-16,True
ln_salario_real_adm,22,33,0,11,0.0001002459700903,0.0001002459700896,both,7.000015801381099e-16,True
ln_salario_real_adm,22,34,0,12,1.6667643136173096e-05,1.66676431356525e-05,both,5.2059661377786e-16,True
ln_salario_real_adm,22,35,0,13,7.776367358536448e-05,7.77636735847763e-05,both,5.881796785733862e-16,True
